Station_Name,Station_Id_C,Lat,Lon,Alti,Year,Mon,Day,Hour,TEM,DPT,RHU,PRE_1h,WIN_D_INST,WIN_S_INST,GST
和平,59099,24.4631,114.9419,207.9,2020,9,1,0,26.4,23.4,84,0,360,0.9,28.7
衡南,57875,26.755,112.6914,137,2020,9,1,0,27.2,22.8,77,0,319,1.7,30.4
城步,57857,26.3667,110.3167,477.7,2020,9,1,0,22.7,20.8,89,0,162,1.2,29.3
江华,59063,25.1819,111.5703,265.7,2020,9,1,0,26.1,22,78,0,334,4.3,31
龙泉,58647,28.0833,119.1333,222.1,2020,9,1,0,28.3,22.3,70,0,91,1.4,31
昭通,56586,27.3517,103.7189,1949.5,2020,9,1,0,17.5,15.8,90,0,158,2.2,19.1
邵阳县,57860,27,111.2833,283.3,2020,9,1,0,24.1,20.8,82,0,240,1.9,29.8
沙县,58826,26.4,117.8,120.6,2020,9,1,0,28,24,79,0,68,1.6,31.3
犍为,56389,29.2,103.95,387.6,2020,9,1,0,21,20.8,99,0,219,1.2,22.3
五指山,59941,18.7667,109.5167,328.5,2020,9,1,0,24.6,22.8,90,0,242,1.5,28.9
保靖,57642,28.6808,109.6481,438.1,2020,9,1,0,22.5,21.3,93,0,6,0.4,26.6
石棉,56378,29.2333,102.35,890.7,2020,9,1,0,20.5,19.8,96,0.1,239,0.6,21
防城,59631,21.7833,108.35,32.4,2020,9,1,0,27.8,25.6,88,0,28,1.3,28.8
嘉禾,57974,25.5814,112.3653,214.5,2020,9,1,0,26.9,22.1,75,0,111,0.3,29.8
苍南,58755,27.495,120.3875,118.7,2020,9,1,0,29.2,22.4,67,0,322,2.2,28.9
会东,56675,26.65,102.5833,1694.5,2020,9,1,0,17.3,17.1,99,0,290,0.8,19.3
韶山,57771,27.9275,112.53,88.3,2020,9,1,0,26.8,23.7,83,0,327,4.2,30
闽清,58839,26.22,118.8628,149,2020,9,1,0,27.5,24.4,83,0,332,0.9,33.2
浮梁,58524,29.3667,117.2167,87.3,2020,9,1,0,27,24.5,86,0,39,0.7,28.5
怀集,59270,23.9397,112.1903,107.2,2020,9,1,0,26.3,24.7,91,0,18,1.5,30
歙县,58530,29.8667,118.4333,168.7,2020,9,1,0,25.5,23.9,91,0,304,0.8,35.6
富民,56772,25.2333,102.5,1692.7001,2020,9,1,0,15.1,13.8,92,0,159,1.3,16
永泰,58932,25.8667,118.9333,85.6,2020,9,1,0,25.8,24,90,0,11,2.4,27.3
